"player_api_id","player_name","overall_rating","gk_rating","appearances","league_no"
"323",18558,"Nicolas Navarro",75,375,18,1
"324",18576,"Lucas Barrios",83,60,92,2
"325",18590,"Cristian Llama",75,65,32,1
"326",18592,"Roman Martinez",70,104,37,1
"327",18628,"Marco Ruben",76,42,73,2
"328",18636,"Pablo Barzola",66,134,44,1
"329",18644,"Federico Almerares",66,60,25,1
"330",18653,"Jose Gustavo Sand",72,65,2,1
"331",18664,"Christian Fernandez",72,49,67,1
"332",18673,"Gustavo Cabral",77,47,130,1
"333",18705,"Jesus Datolo",77,56,14,2
"334",18733,"Pablo Barrientos",79,47,73,1
"335",18734,"Dario Cvitanich",77,60,74,2
"336",18784,"Emiliano Daniel Armenteros",75,35,89,1
"337",18814,"Fernando Gago",80,157,74,2
"338",18816,"Pablo Martin Ledesma",78,143,54,1
"339",18820,"Ezequiel Scarione",76,58,78,1
"340",18823,"Matias Silvestre",80,47,194,1
"341",18848,"Jonathan Bottinelli",73,44,5,1
"342",18853,"Claudio Morel",73,138,14,1
"343",18859,"Mauro Boselli",74,48,12,2
"344",18880,"Nicolas Federico Spolli",80,49,133,1
"345",18904,"David Abraham",77,40,164,3
"346",18913,"Juan Eduardo Eluchans",70,122,16,1
"347",18923,"Carlos Matheu",71,41,14,1
"348",18925,"Ezequiel Lavezzi",86,48,179,2
"349",18945,"Santiago Gentiletti",77,55,38,2
"350",19000,"Dante Adrian Senger",61,52,35,1
"351",19014,"Guillaume Ducatel",60,126,19,1
"352",19020,"Christopher Samba",79,44,124,1
"353",19232,"Rafael Miranda",74,46,91,1
"354",19243,"Diego Costa",86,55,169,2
"355",19249,"Danilo",81,41,174,1
"356",19264,"Evandro Goebel",76,50,59,1
"357",19277,"Dinei",72,53,1,1
"358",19281,"Edivaldo Rojas",65,119,65,1
"359",19285,"Rafael Marques",73,51,27,1
"360",19297,"Thiago Xavier",66,50,28,1
"361",19309,"Edson Sitta",69,49,16,1
"362",19310,"Dyego Rocha Coelho",72,46,3,1
"363",19327,"Miranda",85,53,146,2
"364",19344,"Artur",82,408,112,2
"365",19352,"Jonathan",78,45,51,1
"366",19353,"Fabionn Lopes Patrick",64,46,33,1
"367",19370,"Rodrigo Arroz",67,45,13,1
"368",19372,"Bruno China",71,137,100,2
"369",19393,"Diego",73,379,81,1
"370",19403,"Galatto",75,383,5,2
"371",19427,"Claudio Pitbull",73,136,41,1
"372",19434,"Marcelo Boeck",74,368,36,1
"373",19435,"Renan",78,389,54,1
"374",19436,"Edinho",74,41,13,1
"375",19439,"Joao Guilherme",71,135,80,1
"376",19446,"Pedro Silva",72,143,33,1
"377",19489,"Halisson",70,57,67,1
"378",19511,"Josue",82,151,128,1
"379",19512,"Renan Silva",69,144,13,1
"380",19515,"Cassio",74,365,193,1
"381",19524,"Claudemir",70,53,93,1
"382",19531,"Silva",70,40,23,1
"383",19533,"Neymar",90,59,82,1
"384",19674,"Branko Jelic",62,110,8,1
"385",19696,"Zhi Zheng",73,154,9,1
"386",19908,"Junmin Hao",68,141,7,1
"387",20118,"Takafumi Akahoshi",69,45,78,1
"388",20125,"Hajime Hosogai",76,63,89,1
"389",20174,"Koki Mizuno",78,133,2,1
"390",20196,"Kisho Yano",68,64,2,1
"391",20241,"Takahito Soma",66,51,13,1
"392",20276,"Hulk",85,46,82,1
"393",20325,"Marcelo Silva",71,45,22,1
"394",20329,"Rafael Dias",65,57,11,1
"395",20342,"Rafael Santos",70,47,2,1
"396",20396,"Felipe Santana",77,34,80,1
"397",20399,"Dudu",61,125,3,1
"398",20401,"Michel Bastos",84,58,126,3
"399",20445,"Ederson Tormena",66,46,54,1
"400",20446,"Fagner",74,42,24,1
"401",20482,"Marcos Ceara",74,50,94,1
"402",20645,"Mike Havenaar",72,47,85,2
"403",20694,"Shinji Okazaki",78,42,131,2
"404",20720,"Robert Cullen",67,48,41,1
"405",20747,"Eiji Kawashima",74,367,110,2
"406",20771,"Akihiro Ienaga",74,57,4,1
"407",20790,"Michihirio Yasuda",70,45,38,1
"408",21123,"Erik Friberg",66,10,5,1
"409",21161,"Amoreirinha",69,47,32,1
"410",21164,"Thiago Neves",80,58,2,1
"411",21213,"Daniel Dunst",55,51,9,1
"412",21410,"Sebastian Leto",78,138,13,1
"413",21414,"Oscar Trejo",77,62,99,2
"414",21445,"Juca",74,54,15,1
"415",21446,"Hernanes",85,53,144,1
"416",21450,"Marc Bertran",74,47,96,1
"417",21458,"Andre Leone",73,113,22,1
"418",21528,"Mark Burchill",60,111,9,1
"419",21613,"Nikola Kalinic",78,47,54,2
"420",21645,"David Meul",62,315,34,1
"421",21657,"Alexandre Di Gregorio",59,116,8,1
"422",21726,"Ibrahima Conte",73,54,49,1
"423",21751,"Mohammed Rabiu",71,55,36,1
"424",21753,"Tim Matthijs",68,55,76,1
"425",21765,"Jop van der Linden",72,53,76,1
"426",21776,"Gregory Lorenzi",66,106,43,2
"427",21785,"Esteban Solari",71,130,2,1
"428",21812,"Michael Klukowski",69,59,30,1
"429",21834,"Rachid Farssi",66,58,93,1
"430",21849,"Chris McCann",73,150,7,1
"431",21853,"Dudley Campbell",76,36,32,1
"432",21864,"Stephen Quinn",71,42,21,1
"433",21914,"Chris Robertson",63,49,21,1
"434",21982,"Raffaele Schiavi",69,60,10,1
"435",22045,"Lee Tomlin",70,57,3,1
"436",22096,"Giuseppe Aquaro",65,42,38,1
"437",22103,"Luigi Beghetto",64,157,4,1
"438",22125,"Paulo Lopes",74,367,34,1
"439",22128,"Tony",68,46,57,1
"440",22130,"Hugo Valdir",61,122,1,1
"441",22131,"Hugo Morais",72,137,75,1
"442",22136,"Tiago Rosa",57,51,2,1
"443",22139,"Anselmo",69,39,17,1
"444",22234,"Jose Mari",79,126,3,1
"445",22283,"Fabrizio Cacciatore",72,47,73,1
"446",22305,"Simone Farelli",59,292,1,1
"447",22313,"Elkin Soto",76,68,125,1
"448",22337,"Leandro Castan",82,39,72,1
